State,EV_R,EV_D,Total_Vote,R_Percen,D_Percen,I_Percen,Other_Percen,R_Actual,D_Actual,I_Actual,Other_Actual,EV_I,RD_Diff,State_Abbr,Color,colorRank
Missouri,18,0,1332800,54.56,43.13,1.52,0.79,727162,574799,20242,10597,0,11.43,MO,#fee5d9,1
Montana,4,0,179006,61.13,32.05,0.0,6.82,109430,57372,0,12204,0,29.08,MT,#fcae91,2
Nebraska,8,0,382743,64.66,31.25,2.51,1.58,247498,119608,9600,6037,0,33.41,NE,#fb6a4a,3
Nevada,3,0,27194,56.92,36.22,6.85,0.01,15479,9851,1864,0,0,20.7,NV,#fcae91,2
New Hampshire,4,0,159092,59.84,39.39,0.78,0.0,95196,62662,1234,0,0,20.45,NH,#fcae91,2
New Jersey,14,0,903943,67.65,28.42,3.0,0.93,611541,256887,27141,8374,0,39.23,NJ,#fb6a4a,3
New Mexico,3,0,105406,54.68,44.27,0.0,1.05,57634,46668,0,1104,0,10.41,NM,#fee5d9,1
New York,45,0,2898513,64.56,26.95,7.01,1.48,1871167,781238,203201,42907,0,37.61,NY,#fb6a4a,3
North Carolina,0,12,538758,43.22,56.69,0.08,0.01,232848,305447,446,17,0,-13.47,NC,#bdd7e7,-2
North Dakota,5,0,205776,77.79,18.19,4.02,0.0,160072,37422,8282,0,0,59.6,ND,#a50f15,5
Ohio,24,0,2021653,58.47,38.58,2.83,0.12,1182022,780037,57147,2447,0,19.89,OH,#fee5d9,1
Oklahoma,10,0,486610,50.11,44.61,5.29,0.0,243831,217053,25726,0,0,5.5,OK,#fee5d9,1
Oregon,5,0,238522,60.2,33.55,4.11,2.14,143592,80019,9801,5110,0,26.65,OR,#fcae91,2
Pennsylvania,38,0,1852616,65.76,27.2,3.81,3.23,1218216,503843,70571,59986,0,38.56,PA,#fb6a4a,3
Rhode Island,5,0,167981,63.97,32.78,2.59,0.66,107463,55062,4351,1105,0,31.19,RI,#fb6a4a,3
South Carolina,0,9,66808,3.91,96.05,0.04,0.0,2610,64170,28,0,0,-92.14,SC,#08519c,-5
South Dakota,5,0,182237,60.74,19.72,0.0,19.54,110692,35938,0,35607,0,41.02,SD,#de2d26,4
Tennessee,12,0,428626,51.29,48.19,0.52,0.0,219829,206558,2239,0,0,3.1,TN,#fee5d9,1
Texas,0,20,486641,23.54,59.34,1.67,15.45,114538,288767,8121,75215,0,-35.8,TX,#3182bd,-4
Utah,4,0,145828,55.93,38.84,2.17,3.06,81555,56639,3159,4475,0,17.09,UT,#fee5d9,1
Vermont,4,0,89961,75.82,23.25,0.0,0.93,68212,20919,0,830,0,52.57,VT,#a50f15,5
Virginia,0,12,230999,37.86,61.33,0.35,0.46,87456,141670,807,1066,0,-23.47,VA,#6baed6,-3
Washington,7,0,398715,55.96,21.14,2.24,20.66,223137,84298,8913,82367,0,34.82,WA,#fb6a4a,3
West Virginia,8,0,509942,55.3,43.3,1.1,0.3,282007,220789,5618,1528,0,12.0,WV,#fee5d9,1
Wisconsin,13,0,701280,71.1,16.17,11.5,1.23,498576,113422,80635,8647,0,54.93,WI,#a50f15,5
Wyoming,3,0,54700,64.15,31.86,0.0,3.99,35091,17429,0,2180,0,32.29,WY,#fb6a4a,3
D. C.,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,DC,#fee5d9,1
Alaska,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,AK,#fee5d9,1
Hawaii,0,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,HI,#fee5d9,1
